Ticker,Year,ROE,DE_Ratio,PE_Ratio,Quality
AAPL,2023,1.5607601454639075,1.7875325845589418,31.369736,0
AAPL,2022,1.969588727502368,2.614461635617304,31.369736,0
AAPL,2021,1.5007132667617689,2.163924552226977,31.369736,0
MSFT,2023,0.350887146438564,0.2907774593522546,38.326122,0
MSFT,2022,0.4367546925099975,0.3678951855988279,38.326122,0
MSFT,2021,0.4315223821731414,0.4773290700622588,38.326122,0
GOOGL,2023,0.2604109690555757,0.0957057509554342,19.925222,1
GOOGL,2022,0.2341339246673746,0.1158684177650071,19.925222,1
GOOGL,2021,0.30215590041131,0.1128420132334532,19.925222,1
JPM,2023,0.1511293834902006,1.3314007039203606,14.0878315,0
JPM,2022,0.1288808614862553,1.1626917340557996,14.0878315,0
JPM,2021,0.1643303742940974,1.2055982619752692,14.0878315,0
XOM,2023,0.1758283610511616,0.2029911817267409,14.506631,1
XOM,2022,0.2857743438828192,0.211193084814585,14.506631,1
XOM,2021,0.1366734489283828,0.2829804777638705,14.506631,0
NEE,2023,0.1539984831886744,1.5423232493469283,26.55056,0
NEE,2022,0.1057126105687119,1.6560707639756302,26.55056,0
NEE,2021,0.0960432234826084,1.4737648513520778,26.55056,0
MMM,2023,-1.4551695444143955,3.4847097982109423,18.931507,0
MMM,2022,0.3924059231082733,1.1448852058144274,18.931507,0
MMM,2021,0.3935265186760601,1.2169347334839824,18.931507,0
DIS,2023,0.0237114336654008,0.5025836800064466,24.916496,0
DIS,2022,0.0331024755810037,0.5431963624115864,24.916496,0
DIS,2021,0.0225288810091131,0.6508531613835782,24.916496,0
LLY,2023,0.4864879919048636,2.341768861575024,63.30204,0
LLY,2022,0.5863772089616707,1.5247798080715131,63.30204,0
LLY,2021,0.6216255345687812,1.880423645759088,63.30204,0
NVDA,2023,0.1976381159223564,0.5443645083932853,50.723473,0
NVDA,2022,0.3664512250112731,0.4445738764467157,50.723473,0
